Attempting Calculation of all Square Pivots of range 1 to 10000
4 is in FACT a Square-Pivot of window size 1, at max of 3, for range 0
12 is in FACT a Square-Pivot of window size 2, at max of 4, for range 0
21 is in FACT a Square-Pivot of window size 1, at max of 5, for range 7
24 is in FACT a Square-Pivot of window size 3, at max of 6, for range 0
40 is in FACT a Square-Pivot of window size 4, at max of 7, for range 0
60 is in FACT a Square-Pivot of window size 5, at max of 8, for range 0
84 is in FACT a Square-Pivot of window size 6, at max of 9, for range 0
110 is in FACT a Square-Pivot of window size 2, at max of 10, for range 22
112 is in FACT a Square-Pivot of window size 7, at max of 11, for range 0
120 is in FACT a Square-Pivot of window size 1, at max of 12, for range 48
144 is in FACT a Square-Pivot of window size 8, at max of 13, for range 0
180 is in FACT a Square-Pivot of window size 9, at max of 14, for range 0
220 is in FACT a Square-Pivot of window size 10, at max of 15, for range 0
264 is in FACT a Square-Pivot of window size 11, at max of 16, for range 0
312 is in FACT a Square-Pivot of window size 12, at max of 17, for range 0
315 is in FACT a Square-Pivot of window size 3, at max of 18, for range 45
364 is in FACT a Square-Pivot of window size 13, at max of 19, for range 0
420 is in FACT a Square-Pivot of window size 14, at max of 20, for range 0
480 is in FACT a Square-Pivot of window size 15, at max of 21, for range 0
544 is in FACT a Square-Pivot of window size 16, at max of 22, for range 0
612 is in FACT a Square-Pivot of window size 17, at max of 23, for range 0
684 is in FACT a Square-Pivot of window size 4, at max of 24, for range 76
697 is in FACT a Square-Pivot of window size 1, at max of 25, for range 287
760 is in FACT a Square-Pivot of window size 19, at max of 26, for range 0
820 is in FACT a Square-Pivot of window size 8, at max of 27, for range 41
840 is in FACT a Square-Pivot of window size 20, at max of 28, for range 0
924 is in FACT a Square-Pivot of window size 21, at max of 29, for range 0
1012 is in FACT a Square-Pivot of window size 22, at max of 30, for range 0
1080 is in FACT a Square-Pivot of window size 2, at max of 31, for range 240
1104 is in FACT a Square-Pivot of window size 23, at max of 32, for range 0
1200 is in FACT a Square-Pivot of window size 24, at max of 33, for range 0
1265 is in FACT a Square-Pivot of window size 5, at max of 34, for range 115
1300 is in FACT a Square-Pivot of window size 25, at max of 35, for range 0
1404 is in FACT a Square-Pivot of window size 26, at max of 36, for range 0
1512 is in FACT a Square-Pivot of window size 27, at max of 37, for range 0
1624 is in FACT a Square-Pivot of window size 28, at max of 38, for range 0
1740 is in FACT a Square-Pivot of window size 29, at max of 39, for range 0
1860 is in FACT a Square-Pivot of window size 30, at max of 40, for range 0
1984 is in FACT a Square-Pivot of window size 31, at max of 41, for range 0
2106 is in FACT a Square-Pivot of window size 6, at max of 42, for range 162
2112 is in FACT a Square-Pivot of window size 32, at max of 43, for range 0
2244 is in FACT a Square-Pivot of window size 33, at max of 44, for range 0
2380 is in FACT a Square-Pivot of window size 34, at max of 45, for range 0
2520 is in FACT a Square-Pivot of window size 35, at max of 46, for range 0
2664 is in FACT a Square-Pivot of window size 36, at max of 47, for range 0
2812 is in FACT a Square-Pivot of window size 37, at max of 48, for range 0
2964 is in FACT a Square-Pivot of window size 38, at max of 49, for range 0
3120 is in FACT a Square-Pivot of window size 39, at max of 50, for range 0
3255 is in FACT a Square-Pivot of window size 7, at max of 51, for range 217
3280 is in FACT a Square-Pivot of window size 40, at max of 52, for range 0
3444 is in FACT a Square-Pivot of window size 41, at max of 53, for range 0
3612 is in FACT a Square-Pivot of window size 42, at max of 54, for range 0
3784 is in FACT a Square-Pivot of window size 43, at max of 55, for range 0
3960 is in FACT a Square-Pivot of window size 44, at max of 56, for range 0
4060 is in FACT a Square-Pivot of window size 1, at max of 57, for range 1680
4140 is in FACT a Square-Pivot of window size 45, at max of 58, for range 0
4324 is in FACT a Square-Pivot of window size 46, at max of 59, for range 0
4368 is in FACT a Square-Pivot of window size 3, at max of 60, for range 672
4512 is in FACT a Square-Pivot of window size 47, at max of 61, for range 0
4704 is in FACT a Square-Pivot of window size 48, at max of 62, for range 0
4760 is in FACT a Square-Pivot of window size 8, at max of 63, for range 280
4900 is in FACT a Square-Pivot of window size 49, at max of 64, for range 0
5100 is in FACT a Square-Pivot of window size 50, at max of 65, for range 0
5304 is in FACT a Square-Pivot of window size 51, at max of 66, for range 0
5512 is in FACT a Square-Pivot of window size 52, at max of 67, for range 0
5724 is in FACT a Square-Pivot of window size 53, at max of 68, for range 0
5940 is in FACT a Square-Pivot of window size 54, at max of 69, for range 0
6160 is in FACT a Square-Pivot of window size 55, at max of 70, for range 0
6384 is in FACT a Square-Pivot of window size 56, at max of 71, for range 0
6612 is in FACT a Square-Pivot of window size 57, at max of 72, for range 0
